,epoch,train accuracy,val accuracy
0,1,0.14505342741935484,0.11841032608695654
1,2,0.19701276881720428,0.12758152173913045
2,3,0.24738608870967743,0.14775815217391305
3,4,0.3042657930107527,0.2094429347826087
4,5,0.34252923387096773,0.1985733695652174
5,6,0.39084643817204306,0.23118206521739132
6,7,0.421721438172043,0.25427989130434786
7,8,0.4554825268817205,0.2673233695652174
8,9,0.4840534274193548,0.315625
9,10,0.5145124327956989,0.3004755434782609
10,11,0.5450134408602151,0.34279891304347826
11,12,0.5653477822580645,0.2828125
12,13,0.600633064516129,0.35822010869565213
13,14,0.6520803091397849,0.34952445652173914
14,15,0.6690483870967742,0.34538043478260866
15,16,0.6840524193548387,0.35529891304347827
16,17,0.7042557123655914,0.34164402173913044
17,18,0.7161885080645161,0.3495923913043478
18,19,0.7272872983870968,0.3229619565217391
19,20,0.7408450940860215,0.3779891304347826
20,21,0.755383064516129,0.3633152173913043
21,22,0.7712590725806451,0.3671195652173913
22,23,0.7857069892473119,0.37778532608695653
23,24,0.8199522849462365,0.38376358695652174
24,25,0.8513293010752688,0.38851902173913044
25,26,0.8609489247311829,0.4025815217391305
26,27,0.8679254032258065,0.4075407608695652
27,28,0.8725456989247311,0.39273097826086956
28,29,0.8764089381720431,0.3942934782608695
29,30,0.8781700268817205,0.37948369565217394
30,31,0.8818323252688173,0.38525815217391307
31,32,0.8828034274193548,0.35040760869565213
32,33,0.8867436155913979,0.3769701086956522
33,34,0.885611559139785,0.3575407608695652
34,35,0.9182086693548387,0.4010869565217391
35,36,0.9326565860215053,0.38817934782608693
36,37,0.9355157930107526,0.405570652173913
37,38,0.9361908602150537,0.36861413043478264
38,39,0.9349317876344085,0.3745923913043478
39,40,0.9317405913978495,0.3769701086956522
40,41,0.9308444220430109,0.35923913043478256
41,42,0.9322765456989247,0.3527853260869565
42,43,0.9311485215053763,0.3620244565217391
43,44,0.9292103494623656,0.41263586956521736
44,45,0.9261041666666666,0.39137228260869567
45,46,0.923167002688172,0.3534646739130434
46,47,0.8961801075268818,0.33498641304347826
47,48,0.8466300403225806,0.315625
48,49,0.8659153225806452,0.3235733695652174
49,50,0.8803161962365591,0.39694293478260867
