,epoch,lr,train loss,val loss
0,1,0.01,2.937305253039124,2.6935187526371167
1,2,0.01,2.673696234662046,2.704374261524366
2,3,0.01,2.683819297821291,2.7258000062859575
3,4,0.01,2.680337608501475,2.7428451413693637
4,5,0.01,2.687599943530175,2.673369024110877
5,6,0.01,2.68287895699983,20.744219821432363
6,7,0.01,2.688086030303791,2.688190688257632
7,8,0.01,2.6873210104562903,239.75861259128737
8,9,0.01,2.690675690609922,2.7649328812308935
9,10,0.01,2.684935217262596,3.5397875619971235
10,11,0.01,2.688599544186746,2.704000535218612
11,12,0.01,2.6817152769334855,2.6806675662165103
12,13,0.01,2.6810373362674507,2.723150284393974
13,14,0.01,2.689091145351369,2.6921300369760264
14,15,0.01,2.684022738087562,3.009204916332079
15,16,0.01,2.6814164064263784,2.699786777081697
16,17,0.01,2.6852822713954474,3.334230122358903
17,18,0.01,2.683754215958298,2.681721003159233
18,19,0.01,2.6835967866323327,15.636791768281356
19,20,0.01,2.6828533898117723,2.7362102010975713
20,21,0.01,2.6820059296905354,3.014615473539933
21,22,0.01,2.687168099546945,2.6594289800395137
22,23,0.01,2.6800865614286034,6.100144531415856
23,24,0.01,2.6831502452973397,2.6992585244386094
24,25,0.01,2.6728935754427345,2.6910935381184453
25,26,0.01,2.6740268340674778,2.6851422683052393
26,27,0.01,2.67449132216874,2.682348334270975
27,28,0.01,2.691847526898948,2.6972292817157246
28,29,0.01,2.69316150424301,2.7003806052000625
29,30,0.01,2.693276866789787,2.7005637521329136
30,31,0.01,2.696011071564049,2.684922280518905
31,32,0.01,2.693311502856593,2.674128014108409
32,33,0.01,2.6926784169289375,2.705947492433631
33,34,0.01,2.6944638541949693,2.68968507517939
34,35,0.01,2.693896039839714,2.6883068913998813
35,36,0.01,2.6938024541383148,2.6932249069213867
36,37,0.01,2.6948244853686263,2.6924495697021484
37,38,0.01,2.6959665590716946,2.7050267613452412
38,39,0.01,2.6938164157252156,2.675750794618026
39,40,0.01,2.6953420754401916,2.7010088485220205
40,41,0.01,2.6944751470319686,2.6830366279767905
41,42,0.01,2.6950876520526026,2.6936155816783076
42,43,0.01,2.694863232233191,2.7036241759424624
43,44,0.01,2.69571356363194,2.6894063016642695
44,45,0.01,2.6959351096101987,2.6873058339823848
45,46,0.01,2.6973340562594834,2.7040495665177056
46,47,0.01,2.698133394282351,2.701193197913792
47,48,0.01,2.69821620884762,2.6974816218666406
48,49,0.01,2.699307507084262,2.7001143020132314
49,50,0.01,2.6981802576331684,2.698213598002558
