,epoch,train accuracy,val accuracy
0,1,0.07725504032258064,0.06610054347826087
1,2,0.09712432795698923,0.0625
2,3,0.10926411290322581,0.07710597826086957
3,4,0.11480645161290322,0.09157608695652175
4,5,0.11187130376344086,0.08084239130434782
5,6,0.11531754032258065,0.09035326086956522
6,7,0.11636155913978494,0.09035326086956522
7,8,0.1173235887096774,0.08389945652173914
8,9,0.117877688172043,0.08016304347826086
9,10,0.11846471774193548,0.08389945652173914
10,11,0.1186717069892473,0.08050271739130435
11,12,0.11950672043010752,0.08254076086956522
12,13,0.11829569892473119,0.08525815217391304
13,14,0.12102788978494623,0.08987771739130436
14,15,0.12148588709677419,0.08254076086956522
15,16,0.12106586021505375,0.09157608695652175
16,17,0.12207493279569893,0.10298913043478261
17,18,0.12128595430107526,0.09021739130434783
18,19,0.12229301075268818,0.08152173913043478
19,20,0.1213209005376344,0.08953804347826087
20,21,0.12333803763440859,0.08783967391304348
21,22,0.12514112903225807,0.08457880434782608
22,23,0.12518716397849464,0.09191576086956522
23,24,0.1262782258064516,0.08355978260869565
24,25,0.1270752688172043,0.07778532608695653
25,26,0.12926344086021505,0.08050271739130435
26,27,0.1259842069892473,0.08186141304347826
27,28,0.1254331317204301,0.09463315217391305
28,29,0.12719926075268817,0.08118206521739131
29,30,0.12695228494623656,0.08729619565217392
30,31,0.1284243951612903,0.07846467391304347
31,32,0.1274543010752688,0.08138586956521739
32,33,0.12896538978494623,0.08118206521739131
33,34,0.1298454301075269,0.08559782608695653
34,35,0.1310184811827957,0.07744565217391304
35,36,0.13035047043010753,0.07846467391304347
36,37,0.1326606182795699,0.09361413043478262
37,38,0.1330806451612903,0.09293478260869566
38,39,0.13328461021505375,0.08288043478260869
39,40,0.13434173387096773,0.08186141304347826
40,41,0.13245564516129033,0.09021739130434783
41,42,0.1332046370967742,0.08118206521739131
42,43,0.13384173387096773,0.0891983695652174
43,44,0.13551780913978495,0.08661684782608696
44,45,0.1342997311827957,0.08118206521739131
45,46,0.1364489247311828,0.08695652173913043
46,47,0.1368578629032258,0.07778532608695653
47,48,0.13681888440860215,0.08457880434782608
48,49,0.13711693548387097,0.08457880434782608
49,50,0.13795497311827956,0.09904891304347826
