,epoch,lr,train loss,val loss
0,1,0.01,2.7349039469995806,2.7513912677764893
1,2,0.01,2.6644285276371944,2.726447900136312
2,3,0.01,2.6451375061465847,2.716548448138767
3,4,0.01,2.636013218792536,2.6984767436981203
4,5,0.01,2.634598109670865,2.7085734420352514
5,6,0.01,2.6293947658231183,2.7103759765625
6,7,0.01,2.626474905398584,2.7052171760135226
7,8,0.01,2.6257292974379753,2.697049061457316
8,9,0.01,2.6211433711872307,2.7126463837093775
9,10,0.01,2.619959448614428,2.7120928499433727
10,11,0.01,2.616165162414633,2.713225057390001
11,12,0.01,2.6125472502041887,2.711646016438802
12,13,0.01,2.61005405200425,2.6994843324025473
13,14,0.01,2.6082286507852617,2.7074148813883463
14,15,0.01,2.603872964459081,2.7013291623857287
15,16,0.01,2.6021602596006086,2.7048904471927218
16,17,0.01,2.5997750637351826,2.6996674378712973
17,18,0.01,2.5952019922194944,2.7118145677778456
18,19,0.01,2.5937902190352,2.7005067083570693
19,20,0.01,2.5894014995585204,2.716702609592014
20,21,0.01,2.5849536593242357,2.694774177339342
21,22,0.01,2.583883951428116,2.69189674589369
22,23,0.01,2.580266500032076,2.712177186542087
23,24,0.01,2.5757909827334906,2.708348025215997
24,25,0.01,2.5716581165149646,2.6941401799519857
25,26,0.01,2.570197533535701,2.6938477039337156
26,27,0.01,2.5646932202000774,2.701150957743327
27,28,0.01,2.56072606707132,2.7109181510077582
28,29,0.01,2.558055918703797,2.7156165493859183
29,30,0.01,2.5530902852294264,2.709721316231622
30,31,0.01,2.5503676360653293,2.715112257003784
31,32,0.01,2.5481836148487624,2.710100793838501
32,33,0.01,2.5445692045714265,2.704573965072632
33,34,0.01,2.5405551240008366,2.7060684045155843
34,35,0.01,2.5401806805723455,2.72821225060357
35,36,0.01,2.5361996581477504,2.7069449265797934
36,37,0.01,2.533320135326796,2.7062502331203886
37,38,0.01,2.5307957683840105,2.713100783030192
38,39,0.01,2.527250762267779,2.715080584420098
39,40,0.01,2.5242013841546993,2.7094908555348716
40,41,0.01,2.5229496244461305,2.7226684941185844
41,42,0.01,2.5190213527730716,2.714726289113363
42,43,0.01,2.515946372221875,2.7206066184573703
43,44,0.01,2.513508842196516,2.711150301827325
44,45,0.01,2.5109796536866056,2.724120526843601
45,46,0.01,2.5057322049653656,2.7220514456431073
46,47,0.01,2.503888084683367,2.7160117520226374
47,48,0.01,2.5008297325462423,2.714167335298326
48,49,0.01,2.499231187246179,2.7342300944858127
49,50,0.01,2.4970509345813463,2.7286165078481037
