,epoch,train accuracy,val accuracy
0,1,0.13149260752688172,0.09653532608695652
1,2,0.19076444892473118,0.17139945652173913
2,3,0.26649831989247313,0.15101902173913045
3,4,0.3171206317204301,0.14048913043478262
4,5,0.35770430107526885,0.20985054347826085
5,6,0.3906743951612903,0.25244565217391307
6,7,0.4235685483870968,0.19327445652173914
7,8,0.44679099462365596,0.19904891304347827
8,9,0.4359983198924731,0.12384510869565218
9,10,0.42852083333333335,0.2563179347826087
10,11,0.48187432795698926,0.3346467391304348
11,12,0.5094690860215054,0.24490489130434784
12,13,0.5363508064516129,0.3489809782608696
13,14,0.5496246639784946,0.34599184782608694
14,15,0.5667768817204302,0.39680706521739134
15,16,0.5778235887096774,0.352241847826087
16,17,0.5893373655913978,0.2637907608695652
17,18,0.5977668010752688,0.31677989130434786
18,19,0.6096995967741935,0.3517663043478261
19,20,0.6518024193548386,0.41331521739130433
20,21,0.6934230510752688,0.4535326086956522
21,22,0.682664314516129,0.38267663043478256
22,23,0.6703165322580645,0.39008152173913047
23,24,0.5746112231182795,0.2269021739130435
24,25,0.5440893817204301,0.23478260869565218
25,26,0.570057123655914,0.32133152173913043
26,27,0.591695564516129,0.40788043478260866
27,28,0.6139489247311828,0.3190217391304348
28,29,0.6202493279569893,0.34042119565217394
29,30,0.6344462365591398,0.3441576086956522
30,31,0.6414287634408602,0.319633152173913
31,32,0.6458198924731183,0.378125
32,33,0.6509462365591397,0.3118885869565218
33,34,0.6584368279569892,0.39748641304347826
34,35,0.7184596774193548,0.44130434782608696
35,36,0.7401861559139784,0.49449728260869563
36,37,0.6260006720430108,0.27072010869565216
37,38,0.6278528225806451,0.35271739130434787
38,39,0.6427217741935484,0.41419836956521744
39,40,0.6477180779569892,0.3704483695652174
40,41,0.6609959677419355,0.37880434782608696
41,42,0.664731182795699,0.4316576086956522
42,43,0.6722486559139785,0.40475543478260867
43,44,0.6730157930107526,0.48858695652173917
44,45,0.68040625,0.3970788043478261
45,46,0.6857016129032257,0.37792119565217386
46,47,0.6875887096774194,0.5349864130434783
47,48,0.7616925403225806,0.48777173913043476
48,49,0.7599663978494623,0.47255434782608696
49,50,0.7475235215053764,0.48940217391304347
