,epoch,lr,train loss,val loss
0,1,0.01,3.1667382947860228,2.9628540225650952
1,2,0.01,2.5484156864945606,3.465886820917544
2,3,0.01,2.4372009590107906,
3,4,0.01,2.3578716337039904,4.909488812736843
4,5,0.01,2.253669363196178,
5,6,0.01,,
6,7,0.01,,
7,8,0.01,,
8,9,0.01,,
9,10,0.01,,
10,11,0.01,,
11,12,0.01,,
12,13,0.01,,
13,14,0.01,,
14,15,0.01,,
15,16,0.01,,
16,17,0.01,,
17,18,0.01,,
18,19,0.01,,
19,20,0.001,,
20,21,0.001,,
21,22,0.001,,
22,23,0.001,,
23,24,0.001,,
24,25,0.001,,
25,26,0.001,,
26,27,0.001,,
27,28,0.001,,
28,29,0.001,,
29,30,0.001,,
30,31,0.001,,
31,32,0.001,,
32,33,0.001,,
33,34,0.001,,
34,35,0.001,,
35,36,0.001,,
36,37,0.001,,
37,38,0.001,,
38,39,0.001,,
39,40,0.0001,,
40,41,0.0001,,
41,42,0.0001,,
42,43,0.0001,,
43,44,0.0001,,
44,45,0.0001,,
45,46,0.0001,,
46,47,0.0001,,
47,48,0.0001,,
48,49,0.0001,,
49,50,0.0001,,
