,epoch,train accuracy,val accuracy
0,1,0.11207728494623655,0.11277173913043478
1,2,0.1572372311827957,0.06453804347826086
2,3,0.1974358198924731,0.058084239130434784
3,4,0.2269647177419355,0.08525815217391304
4,5,0.2648612231182796,0.17072010869565218
5,6,0.19973084677419356,0.042119565217391304
6,7,0.05894086021505376,0.042119565217391304
7,8,0.057716733870967735,0.042119565217391304
8,9,0.05772076612903226,0.042119565217391304
9,10,0.05772076612903226,0.042119565217391304
10,11,0.057715725806451616,0.042119565217391304
11,12,0.05772177419354839,0.050475543478260866
12,13,0.05771874999999999,0.042119565217391304
13,14,0.057715725806451616,0.042119565217391304
14,15,0.05771471774193548,0.050475543478260866
15,16,0.057715725806451616,0.042119565217391304
16,17,0.05771471774193548,0.05883152173913043
17,18,0.057717741935483874,0.050475543478260866
18,19,0.05771874999999999,0.042119565217391304
19,20,0.05772177419354839,0.042119565217391304
20,21,0.057717741935483874,0.050475543478260866
21,22,0.057717741935483874,0.042119565217391304
22,23,0.057717741935483874,0.042119565217391304
23,24,0.057716733870967735,0.05883152173913043
24,25,0.057717741935483874,0.042119565217391304
25,26,0.05772177419354839,0.042119565217391304
26,27,0.057725806451612904,0.042119565217391304
27,28,0.05771471774193548,0.050475543478260866
28,29,0.057715725806451616,0.050475543478260866
29,30,0.057717741935483874,0.042119565217391304
30,31,0.057715725806451616,0.042119565217391304
31,32,0.05771975806451613,0.042119565217391304
32,33,0.05772479838709677,0.042119565217391304
33,34,0.057717741935483874,0.042119565217391304
34,35,0.057717741935483874,0.050475543478260866
35,36,0.057715725806451616,0.042119565217391304
36,37,0.057716733870967735,0.042119565217391304
37,38,0.05771874999999999,0.042119565217391304
38,39,0.057717741935483874,0.042119565217391304
39,40,0.05771874999999999,0.042119565217391304
40,41,0.05771874999999999,0.042119565217391304
41,42,0.05771471774193548,0.042119565217391304
42,43,0.057717741935483874,0.042119565217391304
43,44,0.057716733870967735,0.042119565217391304
44,45,0.057717741935483874,0.042119565217391304
45,46,0.057716733870967735,0.042119565217391304
46,47,0.057715725806451616,0.050475543478260866
47,48,0.05772076612903226,0.042119565217391304
48,49,0.057717741935483874,0.042119565217391304
49,50,0.05772681451612903,0.042119565217391304
