,epoch,lr,train loss,val loss
0,1,0.0001,2.916067037531125,3.0183962013410484
1,2,0.0001,2.9162315284052203,3.022841691970825
2,3,0.0001,2.9111792502864713,3.0199760872384775
3,4,0.0001,2.91184135406248,3.05134275685186
4,5,0.0001,2.9094329559674827,3.0354678527168604
5,6,0.0001,2.9088966641374814,3.0147774012192436
6,7,0.0001,2.9071135995208577,3.05718527669492
7,8,0.0001,2.9076143413461666,3.034116734629092
8,9,0.0001,2.909333026537331,3.0807876794234565
9,10,0.0001,2.906385152570663,3.0418704799983813
10,11,0.0001,2.906269468286986,3.034540601398634
11,12,0.0001,2.9038208171885502,3.012880988742994
12,13,0.0001,2.904073202481834,3.1316347225852637
13,14,0.0001,2.9019093321215723,3.012851787650067
14,15,0.0001,2.899719028062718,3.009673730186794
15,16,0.0001,2.901256912498064,3.0061474883038066
16,17,0.0001,2.8981981328738633,3.017252963522206
17,18,0.0001,2.9011690334607194,3.001076128171838
18,19,0.0001,2.896346366533669,3.007159761760546
19,20,1e-05,2.897143743371451,3.0168669949407163
20,21,1e-05,2.8963727553685508,3.0409591612608535
21,22,1e-05,2.896472365625443,3.0124298696932583
22,23,1e-05,2.896983737586647,3.0153234523275625
23,24,1e-05,2.894555111085215,2.9938718650652016
24,25,1e-05,2.897013830882247,3.030399115189262
25,26,1e-05,2.8963843712242703,3.0280916587166162
26,27,1e-05,2.8968205541692753,3.0415419910265054
27,28,1e-05,2.8962291902111423,3.0052707195281982
28,29,1e-05,2.8954872521021033,3.003955022148464
29,30,1e-05,2.897123534192321,3.0075557853864585
30,31,1e-05,2.8952003640513264,3.0055138650147812
31,32,1e-05,2.8973311724201327,2.9989467703777812
32,33,1e-05,2.8974611733549382,2.995226341745128
33,34,1e-05,2.896211665163758,3.0405767171279243
34,35,1e-05,2.8973790266180552,3.0258373073909595
35,36,1e-05,2.8994559934062343,3.0149107394011123
36,37,1e-05,2.8950828108736264,3.003384714541228
37,38,1e-05,2.897786774942952,2.992299971373185
38,39,1e-05,2.8960162362744732,3.018982275672581
39,40,1.0000000000000002e-06,2.8964527512109406,3.008575273596722
40,41,1.0000000000000002e-06,2.8970579947194746,3.0194714691327964
41,42,1.0000000000000002e-06,2.8960092990629134,3.024632288062054
42,43,1.0000000000000002e-06,2.894722952637621,3.031915353692096
43,44,1.0000000000000002e-06,2.895120278481514,2.9998967854872993
44,45,1.0000000000000002e-06,2.8990481835539623,3.0051046661708667
45,46,1.0000000000000002e-06,2.8953241366212086,2.999962734139484
46,47,1.0000000000000002e-06,2.8983113522170694,3.0172919605089272
47,48,1.0000000000000002e-06,2.8968233664830527,3.014393319254336
48,49,1.0000000000000002e-06,2.8965855926595707,3.0215122803397803
49,50,1.0000000000000002e-06,2.8932276413004887,3.047697875810706
