,epoch,train accuracy,val accuracy
0,1,0.1614390534108937,0.1232638888888889
1,2,0.23672233055702452,0.1304861111111111
2,3,0.27915124272871494,0.1840277777777778
3,4,0.3074190518684999,0.12638888888888888
4,5,0.32315973140313764,0.15097222222222223
5,6,0.3401728858187908,0.25513888888888886
6,7,0.3430455942622951,0.2575
7,8,0.3548779580909572,0.19215277777777778
8,9,0.35884067072095893,0.11423611111111111
9,10,0.36441050260003527,0.2058333333333333
10,11,0.3740077725630178,0.29055555555555557
11,12,0.3525237418473471,0.19284722222222223
12,13,0.37331300678653273,0.12708333333333333
13,14,0.3794137251013573,0.140625
14,15,0.3854201095099595,0.1884722222222222
15,16,0.3860542812444915,0.12430555555555556
16,17,0.40826337475762386,0.07388888888888889
17,18,0.34811965670720957,0.15506944444444445
18,19,0.3815496650802045,0.18090277777777777
19,20,0.38949230455667194,0.1738888888888889
20,21,0.5208216276661378,0.35194444444444445
21,22,0.5605561706768906,0.38819444444444445
22,23,0.5799696754362771,0.3581944444444444
23,24,0.6038210052000705,0.4127083333333333
24,25,0.6201201139167989,0.4179861111111111
25,26,0.6375512295081966,0.4156944444444445
26,27,0.6457940849197955,0.44013888888888886
27,28,0.6569585371496562,0.45395833333333335
28,29,0.6690697712850344,0.4186111111111111
29,30,0.6836047670985369,0.46645833333333336
30,31,0.6872968722457253,0.43520833333333336
31,32,0.6975937279658029,0.45006944444444447
32,33,0.704517974396263,0.49368055555555557
33,34,0.7034617100740349,0.4578472222222222
34,35,0.7187864941389036,0.4578472222222222
35,36,0.7256831978230213,0.47652777777777783
36,37,0.7362279382601798,0.4845833333333333
37,38,0.7438304248193196,0.48743055555555553
38,39,0.7515775107967565,0.5373611111111111
39,40,0.7716485986250661,0.4479166666666667
40,41,0.8137456207033316,0.550625
41,42,0.8297424477789529,0.56125
42,43,0.8334366186321169,0.57
43,44,0.8371851864093073,0.5730555555555555
44,45,0.8392013154415654,0.5827777777777778
45,46,0.849145624008461,0.5574305555555555
46,47,0.8471398235060815,0.5722916666666666
47,48,0.8494878426317646,0.5668055555555556
48,49,0.8501536885245901,0.5675
49,50,0.8551017429049885,0.5709722222222222
