,epoch,lr,train loss,val loss
0,1,0.01,2.8025889454349393,2.8234829955630834
1,2,0.01,2.7246496292852584,2.739876127243042
2,3,0.01,2.68593793530618,2.7410376654730904
3,4,0.01,2.6659324675477962,2.724695486492581
4,5,0.01,2.655142160513068,2.734640391667684
5,6,0.01,2.647633146855139,2.7110344621870253
6,7,0.01,2.6455581342020342,2.7108885023328995
7,8,0.01,2.638452975980697,2.708219692442152
8,9,0.01,2.637149639027093,2.7074687904781767
9,10,0.01,2.6337931694522982,2.7174742115868464
10,11,0.01,2.631676002856224,2.711496188905504
11,12,0.01,2.632276581179711,2.697401279873318
12,13,0.01,2.6300485569943666,2.7179128170013427
13,14,0.01,2.627510650824475,2.7122138765123154
14,15,0.01,2.6264294155182375,2.692655748791165
15,16,0.01,2.6261445149298637,2.7155918174319797
16,17,0.01,2.6232692906933446,2.7093775590260822
17,18,0.01,2.622042868086087,2.703538990020752
18,19,0.01,2.6202223839298373,2.7059461487664116
19,20,0.001,2.6182329238102002,2.710086541705661
20,21,0.001,2.6210731953702946,2.711093372768826
21,22,0.001,2.619360056615645,2.7144755999247234
22,23,0.001,2.618199775936783,2.7147663328382703
23,24,0.001,2.617896189612727,2.6988954385121664
24,25,0.001,2.6197846833095757,2.703010728624132
25,26,0.001,2.6198492838490393,2.7083209196726483
26,27,0.001,2.618585510920453,2.696539693408542
27,28,0.001,2.616977015490173,2.704772022035387
28,29,0.001,2.6187078837425477,2.711075120502048
29,30,0.001,2.618333979319501,2.7067248874240453
30,31,0.001,2.6195928480035517,2.7088807688819037
31,32,0.001,2.6180006573277135,2.7087332831488715
32,33,0.001,2.6176698259128037,2.699965763092041
33,34,0.001,2.617635719237789,2.716648642222087
34,35,0.001,2.6185248205738683,2.715770811504788
35,36,0.001,2.6197561064074115,2.711762221654256
36,37,0.001,2.6184281206900075,2.70659196111891
37,38,0.001,2.6151951820619646,2.7124638345506455
38,39,0.001,2.6176488425142024,2.71164747344123
39,40,0.0001,2.6176136142464093,2.704618395699395
40,41,0.0001,2.6182716072246595,2.701016600926717
41,42,0.0001,2.617475517975387,2.7074427710639104
42,43,0.0001,2.6173112776971634,2.7036735269758436
43,44,0.0001,2.6171170396189534,2.7116354253556993
44,45,0.0001,2.617412490229453,2.7089272605048285
45,46,0.0001,2.617353411771918,2.7088070710500083
46,47,0.0001,2.618145480591764,2.711498562494914
47,48,0.0001,2.6171270108992055,2.707443443934123
48,49,0.0001,2.615690487687306,2.717447445127699
49,50,0.0001,2.6177555085510336,2.708616929584079
