,epoch,lr,train loss,val loss
0,1,0.0001,2.85097526350329,2.999112782271012
1,2,0.0001,2.8510151255515312,3.0230419635772705
2,3,0.0001,2.8509758633951985,3.0069625688635786
3,4,0.0001,2.8491884995532293,3.0356679273688276
4,5,0.0001,2.8480479230162916,2.9809532787488853
5,6,0.0001,2.8486107959542224,2.9722330466560694
6,7,0.0001,2.849794492926649,3.0257832382036294
7,8,0.0001,2.845703335218532,3.0083988645802373
8,9,0.0001,2.844806391705749,3.0001576776089878
9,10,0.0001,2.844819040708644,2.9802310259445854
10,11,0.0001,2.8430661309149956,3.015318144922671
11,12,0.0001,2.8415541200227636,2.9761061979376753
12,13,0.0001,2.840163597496607,3.010663022165713
13,14,0.0001,2.840093269143053,3.0376330251279087
14,15,0.0001,2.839478083836135,3.004360416661138
15,16,0.0001,2.838401218896271,3.0230176656142524
16,17,0.0001,2.8381812957025345,2.975014489629994
17,18,0.0001,2.836867433722301,2.9976486641427744
18,19,0.0001,2.833050183070603,2.9967030131298564
19,20,0.0001,2.8342245266001713,2.975852613863738
20,21,0.0001,2.8336614242164035,2.974385655444601
21,22,0.0001,2.833492148307062,3.0310096637062403
22,23,0.0001,2.829353190237476,3.033773608829664
23,24,0.0001,2.8310985129366637,2.9533645277437954
24,25,0.0001,2.830805044020376,2.9813331106434697
25,26,0.0001,2.8296417920820174,2.9602420641028364
26,27,0.0001,2.8283999273853917,2.9560008774632993
27,28,0.0001,2.82938096087466,2.9739126018855884
28,29,0.0001,2.827839782161097,2.9819328577622124
29,30,0.0001,2.8254214922587075,2.94999709336654
30,31,0.0001,2.827836649392241,2.954786031142525
31,32,0.0001,2.8237067602014028,2.9627457908962085
32,33,0.0001,2.8236325107594973,2.9821701879086704
33,34,0.0001,2.82503729866397,2.935749572256337
34,35,0.0001,2.822210106798398,2.9676382541656494
35,36,0.0001,2.8228271584356985,2.971996027490367
36,37,0.0001,2.820474792552251,2.9546289858610733
37,38,0.0001,2.820516670903852,2.9595371329266094
38,39,0.0001,2.8200372239594818,2.942084146582562
39,40,0.0001,2.816005209440826,2.957369203152864
40,41,0.0001,2.818374054406279,2.9591953339784043
41,42,0.0001,2.816839487321915,2.9786251213239585
42,43,0.0001,2.8182300213844544,2.945026853810186
43,44,0.0001,2.81699949695218,2.988544920216436
44,45,0.0001,2.8157486018314155,2.9607465889142905
45,46,0.0001,2.8159686455162625,2.9451913315316904
46,47,0.0001,2.813885760563676,2.9269230054772417
47,48,0.0001,2.8124856987307147,2.9650214029395063
48,49,0.0001,2.813588232122442,2.9304920383121655
49,50,0.0001,2.812279353859604,2.9747321191041367
