,epoch,lr,train loss,val loss
0,1,0.01,3.575561741346954,2.7065613062485405
1,2,0.01,2.706494863315295,2.7058789833732275
2,3,0.01,2.7064455375876477,2.705896097680797
3,4,0.01,2.7064950978884132,2.7063666011976157
4,5,0.01,2.7064998265235656,2.7060097300488017
5,6,0.01,2.706632096280334,2.706787638042284
6,7,0.01,2.706497137264539,2.7070895796236782
7,8,0.01,2.706587235132853,2.7056312457374903
8,9,0.01,2.7065708624419345,2.70658540725708
9,10,0.01,2.7065697036763674,2.7072627337082573
10,11,0.01,2.706704701146772,2.7081072434135107
11,12,0.01,2.7072482608979747,2.7065008515897007
12,13,0.01,2.707363377335251,2.707581032877383
13,14,0.01,2.707327723503113,2.7073643311210303
14,15,0.01,2.707285318323361,2.7065455084261685
15,16,0.01,2.7073407801248695,2.7072223269421123
16,17,0.01,2.707295545967676,2.7073654091876485
17,18,0.01,2.707302220406071,2.7071751615275508
18,19,0.01,2.707358849945889,2.706716889920442
19,20,0.001,2.7072829841285624,2.7076625512993853
20,21,0.001,2.7072948486574235,2.7071566789046577
21,22,0.001,2.707446041927543,2.707568303398464
22,23,0.001,2.707667649433177,2.70765701584194
23,24,0.001,2.7076934537579938,2.707652185274207
24,25,0.001,2.7076658125846618,2.707676307014797
25,26,0.001,2.7076546620297175,2.7077407836914062
26,27,0.001,2.7076694708998486,2.707503380982772
27,28,0.001,2.707671848676538,2.7075840182926343
28,29,0.001,2.7076850437348887,2.7078565825586733
29,30,0.001,2.7076764850206274,2.7075426371201226
30,31,0.001,2.7076698310913576,2.7076404820317808
31,32,0.001,2.707649455275587,2.707598592924035
32,33,0.001,2.707811745264197,2.7079363905865215
33,34,0.001,2.707861667038292,2.7078786103621773
34,35,0.001,2.7078564461841377,2.7080189974411675
35,36,0.001,2.707855571982681,2.7080974786177925
36,37,0.001,2.707865616326691,2.707929113636846
37,38,0.001,2.7078579177138624,2.7078438738118047
38,39,0.001,2.7078607428458428,2.707863258278888
39,40,0.0001,2.7078477233968754,2.707870120587556
40,41,0.0001,2.707861404265127,2.7078284698983897
41,42,0.0001,2.707856027028894,2.7078158233476723
42,43,0.0001,2.7078520879950574,2.7078423500061035
43,44,0.0001,2.7079482104188655,2.7079521987749184
44,45,0.0001,2.7079543875109766,2.707940153453661
45,46,0.0001,2.707952614753477,2.707942589469578
46,47,0.0001,2.7079527698537356,2.707974972932235
47,48,0.0001,2.7079519789705992,2.7079515871794326
48,49,0.0001,2.707948823128977,2.7079183848007866
49,50,0.0001,2.70795343383666,2.7079543652741807
