,epoch,lr,train loss,val loss
0,1,0.0001,2.569801095993288,2.8572013170822808
1,2,0.0001,2.3858478774306593,3.380891447481902
2,3,0.0001,2.248588858112212,2.6237426529759946
3,4,0.0001,2.178874674022839,2.46631033524223
4,5,0.0001,2.1385168606235134,2.661324708358101
5,6,0.0001,2.1687207016893613,3.0756556158480435
6,7,0.0001,1.9765894598858331,2.819980590239815
7,8,0.0001,1.8724910802738641,3.1136896817580513
8,9,0.0001,1.804178560292849,2.98466420173645
9,10,0.0001,1.7560883606633833,2.2098605062650596
10,11,0.0001,1.726582275282952,2.5578737777212393
11,12,0.0001,1.698448356120817,2.634514736092609
12,13,0.0001,1.6831124565934623,2.7841329885565718
13,14,0.0001,1.6649774127109076,3.1865948594134785
14,15,0.0001,1.634243587011932,2.3691890550696333
15,16,0.0001,1.6250038416154924,2.2161001329836636
16,17,0.0001,1.4646468816264984,2.462144882782646
17,18,0.0001,1.842993491439409,3.056657874065897
18,19,0.0001,1.6610838162001742,3.3170531936313794
19,20,0.0001,1.606014520891251,2.673621302065642
20,21,0.0001,1.5731444717735372,1.9587313040443088
21,22,0.0001,1.557011975396064,4.985012365424114
22,23,0.0001,1.5388263643428843,2.2628174553746763
23,24,0.0001,1.5293260171849241,2.4149383565653926
24,25,0.0001,1.5154546454388609,2.785828631857167
25,26,0.0001,1.4993783761096258,2.778091710546742
26,27,0.0001,1.490821212850591,2.9571366102799126
27,28,0.0001,1.478728509718372,1.77294035061546
28,29,0.0001,1.3370143873717195,3.5266917995784595
29,30,0.0001,1.625160974200054,2.5935664073280664
30,31,0.0001,1.7644048909987173,2.8623284671617593
31,32,0.0001,1.7881216355549392,2.6551352376523227
32,33,0.0001,1.8076498860953956,5.18148720782736
33,34,0.0001,1.8048605239519508,2.4893907878709878
34,35,0.0001,1.8096360525777262,7.178073509879734
35,36,0.0001,1.8038223610129407,3.9286910139996074
36,37,0.0001,1.8100694219271343,2.5387528046317724
37,38,0.0001,1.8115842451331436,3.147266719652259
38,39,0.0001,1.736185250743743,2.985694512077
39,40,0.0001,1.9376666212594638,3.08043356563734
40,41,0.0001,1.8497128063632595,2.7733429307522983
41,42,0.0001,1.8217502665776077,4.502058215763258
42,43,0.0001,1.8229363996495482,3.185710927714472
43,44,0.0001,1.8320849896759115,3.455692498580269
44,45,0.0001,1.8316228575603937,2.487428716991259
45,46,0.0001,1.8397277958931462,3.3377298064853833
46,47,0.0001,1.8519241329162353,2.4977692313816235
47,48,0.0001,1.8629993700212049,2.829863797063413
48,49,0.0001,1.8738335749154449,2.3844806422357974
49,50,0.0001,1.8518271016818222,2.3884801864624023
