,epoch,lr,train loss,val loss
0,1,0.01,3.16539466316982,2.7021630975935196
1,2,0.01,2.7036396649576004,2.7039401531219482
2,3,0.01,2.7035326137337634,2.703460391362508
3,4,0.01,2.703313156481712,2.703287045160929
4,5,0.01,2.703282506235184,2.7019227928585474
5,6,0.01,2.704911612054353,2.704261080423991
6,7,0.01,2.70578267241037,2.7043405479855007
7,8,0.01,2.7055213675704053,2.7053899500105114
8,9,0.01,2.705755901593034,2.706571086247762
9,10,0.01,2.7057068335112704,2.7066640112135145
10,11,0.01,2.7061053854162975,2.7065347936418322
11,12,0.01,2.706874168688251,2.7073124408721925
12,13,0.01,2.7067871728251056,2.706145175298055
13,14,0.01,2.7068715050656307,2.7063195122612846
14,15,0.01,2.7069261407339447,2.7068363348642985
15,16,0.01,2.7069029391452832,2.7070335918002657
16,17,0.01,2.707309273622369,2.706614467832777
17,18,0.01,2.707444667816162,2.708260006374783
18,19,0.01,2.707424875228636,2.708493947982788
19,20,0.001,2.707415639072336,2.7074935065375434
20,21,0.001,2.7074496297426123,2.7075151390499537
21,22,0.001,2.7075815899397737,2.7078366862403023
22,23,0.001,2.707734633517522,2.7078192869822186
23,24,0.001,2.7077422334301855,2.7077754868401422
24,25,0.001,2.7077239982543455,2.707744598388672
25,26,0.001,2.707744170260686,2.707630761464437
26,27,0.001,2.707752687956697,2.7078894403245712
27,28,0.001,2.707898300822063,2.707837380303277
28,29,0.001,2.7078976086390916,2.7078567028045653
29,30,0.001,2.7078966274056384,2.7081745200686984
30,31,0.001,2.7078929402494945,2.707937086953057
31,32,0.001,2.707896519732732,2.7079110622406004
32,33,0.001,2.7079498588397937,2.707894129223294
33,34,0.001,2.7079695399089525,2.7080264568328856
34,35,0.001,2.707979381725352,2.7079949537913004
35,36,0.001,2.7079672589096973,2.7079470740424263
36,37,0.001,2.7079630289026486,2.7078680886162654
37,38,0.001,2.7079813198376725,2.707926548851861
38,39,0.001,2.7080099717263253,2.7081081284417046
39,40,0.0001,2.708015086189393,2.7080057515038383
40,41,0.0001,2.7080122232437134,2.7080114046732584
41,42,0.0001,2.7080114246696554,2.7080313046773274
42,43,0.0001,2.7080113009739946,2.7080104086134167
43,44,0.0001,2.708031415939331,2.7080264144473607
44,45,0.0001,2.7080305186651086,2.708028300603231
45,46,0.0001,2.7080306301834765,2.7080195903778077
46,47,0.0001,2.7080298796776803,2.7080273628234863
47,48,0.0001,2.708030829506536,2.7080283164978027
48,49,0.0001,2.708029995041509,2.7080279032389325
49,50,0.0001,2.70803096730222,2.7080357127719457
