,epoch,train accuracy,val accuracy
0,1,0.07662298387096775,0.059103260869565216
1,2,0.08729872311827956,0.058084239130434784
2,3,0.09376209677419355,0.057065217391304345
3,4,0.10342372311827956,0.09361413043478262
4,5,0.10871404569892473,0.08763586956521739
5,6,0.11266532258064516,0.08967391304347826
6,7,0.1145084005376344,0.09667119565217393
7,8,0.11476444892473117,0.10074728260869566
8,9,0.11602352150537634,0.10978260869565216
9,10,0.11488844086021506,0.11487771739130434
10,11,0.11556048387096775,0.09972826086956522
11,12,0.11775067204301075,0.09307065217391304
12,13,0.11862869623655914,0.0970108695652174
13,14,0.11795866935483872,0.09748641304347826
14,15,0.11720262096774194,0.09103260869565218
15,16,0.11896875,0.09565217391304348
16,17,0.11942573924731183,0.09972826086956522
17,18,0.11888272849462365,0.09205163043478261
18,19,0.12039381720430106,0.09802989130434783
19,20,0.11912869623655914,0.09442934782608696
20,21,0.11976377688172042,0.09442934782608696
21,22,0.12160584677419355,0.09069293478260869
22,23,0.12026478494623656,0.10380434782608697
23,24,0.11971975806451612,0.09035326086956522
24,25,0.1214018817204301,0.09510869565217392
25,26,0.11858467741935484,0.08423913043478261
26,27,0.11846169354838709,0.10876358695652173
27,28,0.12035887096774193,0.08797554347826086
28,29,0.12043783602150537,0.09646739130434782
29,30,0.12144287634408601,0.09769021739130436
30,31,0.12064986559139784,0.09510869565217392
31,32,0.1199317876344086,0.09035326086956522
32,33,0.12022177419354838,0.09171195652173914
33,34,0.1210668682795699,0.08763586956521739
34,35,0.12022479838709677,0.08797554347826086
35,36,0.11972278225806453,0.09938858695652175
36,37,0.12072681451612904,0.10516304347826087
37,38,0.11939482526881721,0.09069293478260869
38,39,0.12005477150537634,0.09544836956521739
39,40,0.1202698252688172,0.09782608695652174
40,41,0.12123891129032259,0.10312500000000001
41,42,0.1201008064516129,0.09137228260869565
42,43,0.12065087365591398,0.09510869565217392
43,44,0.12236391129032258,0.08559782608695653
44,45,0.12363508064516128,0.09171195652173914
45,46,0.11908870967741936,0.1000679347826087
46,47,0.12136995967741936,0.0970108695652174
47,48,0.12022782258064516,0.09341032608695653
48,49,0.12098185483870967,0.09667119565217393
49,50,0.12022278225806451,0.08933423913043478
